#,Project Name,Client / Company,Year,Image/file Name,Short Excerpt (for card),Technologies Used,Full Description (Rich HTML)
42,Microsoft Defender Endpoint Security & Threat Protection,Business Systems House,2025,Microsoft-Defender-Endpoint-Security-Threat-Protection.png,"Deployed Microsoft Defender for Endpoint across corporate laptops and servers, setting up automated threat investigation and response capabilities.","Microsoft Defender for Endpoint, M365 Security Portal, EDR, Attack Surface Reduction (ASR)",<h2>Microsoft Defender Endpoint Security & Threat Protection</h2><p>Engineered endpoint detection and response (EDR) capabilities using Microsoft Defender to protect enterprise workstations from advanced malware threats.</p><h3>Key Features & Implementation</h3><ul><li><strong>Attack Surface Reduction (ASR) Rules:</strong> Deployed targeted ASR rules to block executable content from email clients and office applications.</li><li><strong>Automated Investigation & Response (AIR):</strong> Enabled automated remediation playbooks to isolate infected endpoints and purge malicious artifacts.</li><li><strong>Security Baseline Alignment:</strong> Applied Microsoft security configuration baselines across domain-joined Windows endpoints.</li></ul>
43,ADP Partner Security Risk Assessment & Compliance,Business Systems House,2025,ADP-Partner-Security-Risk-Assessment-Compliance.png,"Led technical compliance alignment for ADP Partner Security Risk Assessment, satisfying enterprise security controls across endpoint, network, and IAM domains.","Security Risk Assessment, ADP Security Controls, Compliance Governance, Audit Logging","<h2>ADP Partner Security Risk Assessment & Compliance</h2><p>Managed compliance validation and technical control evidence preparation for the ADP Partner Security Risk Assessment audit framework.</p><h3>Key Features & Implementation</h3><ul><li><strong>Control Gap Analysis:</strong> Audited endpoint security, network segmentation, and identity lifecycle practices against third-party partner requirements.</li><li><strong>Evidence Documentation:</strong> Compiled technical policy artifacts, configuration screenshots, and system logs validating security controls.</li><li><strong>Action Plan Execution:</strong> Closed identified operational security gaps within target audit deadlines.</li></ul>"
44,HR/Payroll Software Definition & System Architecture (SDD),Business Systems House,2026,HR/Payroll-Software-Definition-System-Architecture-(SDD).png,"Authored the Software Definition Document (SDD) for enterprise HR/Payroll applications, defining system architecture, data models, and security integration points.","Software Definition Document (SDD), Software Architecture, Oracle DB, API Integration, Technical Writing","<h2>HR/Payroll Software Definition & System Architecture (SDD)</h2><p>Authored comprehensive Software Definition Documents (SDD) establishing architectural baselines for enterprise HR and Payroll software solutions.</p><h3>Key Features & Implementation</h3><ul><li><strong>Multi-Tier System Architecture:</strong> Documented application server tiers, database connection pooling, and web interface frameworks.</li><li><strong>Security & Authentication Specifications:</strong> Defined role-based user access matrices, session handling policies, and encrypted payload specifications.</li><li><strong>Data Dictionary & Integration:</strong> Mapped data schemas, interface endpoints, and third-party API integration points for software development teams.</li></ul>"
45,Enterprise Microsoft Entra ID (Azure AD) Architecture,Business Systems House,2025,Enterprise-Microsoft-Entra-ID-(Azure-AD)-Architecture.png,"Administered Microsoft Entra ID (Azure AD) identity tenant, establishing Conditional Access rules, SSO app integrations, and role-based access controls.","Microsoft Entra ID (Azure AD), Conditional Access, Single Sign-On (SSO), OAuth 2.0, SAML","<h2>Enterprise Microsoft Entra ID (Azure AD) Architecture</h2><p>Configured and optimized corporate Microsoft Entra ID identity infrastructure to secure cloud application authentication across all staff users.</p><h3>Key Features & Implementation</h3><ul><li><strong>Conditional Access Enforcement:</strong> Formulated location, device-health, and risk-based MFA enforcement rules for cloud portal access.</li><li><strong>Single Sign-On (SSO) Integration:</strong> Integrated third-party SaaS platforms with Entra ID via SAML 2.0 and OAuth 2.0 for unified credential management.</li><li><strong>Privileged Identity Management (PIM):</strong> Restricted administrative role activation to time-bound, approval-required just-in-time access windows.</li></ul>"
46,Outbound Payroll Mail Delivery & Bounce Analysis,Business Systems House,2026,Outbound-Payroll-Mail-Delivery-Bounce-Analysis.png,Formulated automated mail flow inspection and bounce analysis procedures for high-volume automated payroll and payslip distribution systems.,"Exim Log Analyzer, Shell Scripting, SMTP, Dovecot, Automated Reporting, CSV Processing",<h2>Outbound Payroll Mail Delivery & Bounce Analysis</h2><p>Engineered mail transport log analytics and automated processing scripts to ensure 100% deliverability for automated payroll communication runs.</p><h3>Key Features & Implementation</h3><ul><li><strong>Bounce & Rejection Parsing:</strong> Developed automated log analysis scripts to capture and classify non-delivery reports (NDRs).</li><li><strong>SMTP Authentication Hardening:</strong> Standardized secure authenticated SMTP submission channels for background payroll generation tasks.</li><li><strong>Delivery Exception Reporting:</strong> Generated real-time delivery failure reports for HR teams to maintain accurate employee communication lists.</li></ul>
47,Remote Interactive Display & Power Control Systems,Global Village / Interactive,2021,Remote-Interactive-Display-Power-Control-Systems.png,"Engineered remote-managed interactive exhibit infrastructure featuring automated power control scripts, remote display management, and hardware watchdogs.","Custom Shell Scripting, Remote Power Management, Network Watchdogs, Windows/Linux, Hardware Relays","<h2>Remote Interactive Display & Power Control Systems</h2><p>Architected automated power control systems and remote display management scripts for high-reliability interactive public exhibit hardware.</p><h3>Key Features & Implementation</h3><ul><li><strong>Automated Scripted Power Scheduling:</strong> Programmed custom scripts to automate daily system boot, display wake-up, and graceful shutdown routines.</li><li><strong>Remote Watchdog Monitoring:</strong> Implemented hardware watchdog scripts to detect frozen application states and trigger automated system resets.</li><li><strong>Secure Remote Management:</strong> Established encrypted administrative tunnels for off-site status monitoring and remote maintenance.</li></ul>"
48,Digital Forensics Evidence & Chain-of-Custody Protocols,Information Security Practice,2025,Digital-Forensics-Evidence-Chain-of-Custody-Protocols.png,"Formulated digital evidence preservation protocols, hash verification workflows, and formal chain-of-custody documentation for forensic incident investigations.","FTK Imager, EnCase, Hash Calc (MD5/SHA256), Digital Forensics, Chain of Custody","<h2>Digital Forensics Evidence & Chain-of-Custody Protocols</h2><p>Designed standardized digital forensics procedures for acquiring, verifying, and preserving electronic evidence during security investigations.</p><h3>Key Features & Implementation</h3><ul><li><strong>Bit-Stream Image Acquisition:</strong> Executed forensic write-blocked disk imaging across compromised workstations and server drives.</li><li><strong>Cryptographic Hash Integrity:</strong> Verified evidentiary integrity through real-time MD5 and SHA-256 hash checksum calculation.</li><li><strong>Chain-of-Custody Documentation:</strong> Authored legal-grade forensic tracking forms and evidence vault handling procedures.</li></ul>"
49,Enterprise Network Switch Stack Deployment & Port Security,Business Systems House,2025,Enterprise-Network-Switch-Stack-Deployment-Port-Security.png,"Deployed and configured managed access switches, implementing switch stacking, dynamic port security, and 802.1Q VLAN trunking for corporate offices.","FortiSwitch, Cisco Switches, 802.1Q VLANs, LACP, Port Security, Spanning Tree (STP)","<h2>Enterprise Network Switch Stack Deployment & Port Security</h2><p>Engineered hardware installation, stacking configuration, and security hardening across enterprise network access switches.</p><h3>Key Features & Implementation</h3><ul><li><strong>Hardware Switch Stacking:</strong> Grouped physical switches into unified virtual switch stacks with redundant stack interconnects.</li><li><strong>Dynamic Port Security:</strong> Configured MAC-address limits and dynamic VLAN assignment to prevent unauthorized hardware connections.</li><li><strong>Bandwidth Aggregation (LACP):</strong> Configured multi-link aggregation trunks between access stacks and core firewalls for high throughput.</li></ul>"
50,Cloud Compute Sizing & BYOL vs PAYG Licensing Analysis,Business Systems House,2026,Cloud-Compute-Sizing-BYOL-vs-PAYG-Licensing-Analysis.png,"Performed cloud infrastructure sizing and financial modeling for OCI migration, evaluating Bring Your Own License (BYOL) vs Pay-As-You-Go (PAYG) cost models.","OCI Cost Calculator, Compute Sizing, BYOL vs PAYG, Excel Financial Modeling, TCO Analysis",<h2>Cloud Compute Sizing & BYOL vs PAYG Licensing Analysis</h2><p>Developed comprehensive cloud cost optimization models to analyze licensing and compute shapes for enterprise cloud migration.</p><h3>Key Features & Implementation</h3><ul><li><strong>BYOL vs PAYG Financial Evaluation:</strong> Modeled license mobility savings by leveraging existing on-premises software licenses on OCI.</li><li><strong>Workload Capacity Right-Sizing:</strong> Sized compute OCPUs and memory footprints based on actual peak utilization metrics.</li><li><strong>Multi-Year TCO Forecasting:</strong> Formulated multi-year operational expenditure (OpEx) projections for executive decision-making.</li></ul>
51,Exchange Web Services (EWS) API Integration & Token Management,Business Systems House,2026,Exchange-Web-Services-(EWS)-API-Integration-Token-Management.png,Configured Exchange Web Services (EWS) and Graph API OAuth 2.0 token management pipelines to automate enterprise email metadata extraction and custom application sync.,"Exchange Web Services (EWS), Microsoft Graph API, OAuth 2.0, Exchange Online, PowerShell","<h2>Exchange Web Services (EWS) API Integration & Token Management</h2><p>Designed and deployed secure API integration pipelines using EWS and Microsoft Graph API for custom corporate application authentication.</p><h3>Key Features & Implementation</h3><ul><li><strong>OAuth 2.0 Token Scoping:</strong> Standardized application permission scoping and certificate-backed client secret management for API access.</li><li><strong>EWS & Graph API Pipelines:</strong> Built automated scripts to extract mailbox metadata, process transactional notifications, and sync calendar events.</li><li><strong>Throttling & Limit Handling:</strong> Configured retry logic and backoff algorithms to prevent M365 API request throttling during high-volume sync operations.</li></ul>"
52,Outbound SMTP Relay Hardening & DKIM Cryptographic Signing,Business Systems House,2026,Outbound-SMTP-Relay-Hardening-DKIM-Cryptographic-Signing.png,"Hardened corporate outbound SMTP relays, implementing 2048-bit DKIM cryptographic key signing, DMARC reject policies, and SPF record alignment.","Postfix, Exim MTA, DKIM, DMARC, SPF, OpenSSL, Exchange Online",<h2>Outbound SMTP Relay Hardening & DKIM Cryptographic Signing</h2><p>Hardened enterprise transactional mail relays to guarantee high deliverability rates and protect corporate email domains against spoofing.</p><h3>Key Features & Implementation</h3><ul><li><strong>2048-bit DKIM Key Generation:</strong> Generated and rotated RSA 2048-bit cryptographic key pairs for domain-level outbound mail signing.</li><li><strong>DMARC Enforcement Baseline:</strong> Enforced DMARC policies transitioning from p=none to p=reject with automated failure reporting endpoints.</li><li><strong>Relay Access Control:</strong> Restricted outbound SMTP relaying strictly to authenticated internal application IPs and authorized service accounts.</li></ul>
53,Multi-VLAN Network Segmentation & Trunking Configuration,Business Systems House,2025,Multi-VLAN-Network-Segmentation-Trunking-Configuration.png,"Architected multi-VLAN network segmentation across core switches and firewalls, separating Voice, User, Server, Management, and Guest network traffic.","802.1Q VLAN Trunking, FortiGate, Cisco Switches, Inter-VLAN Routing, Subnetting","<h2>Multi-VLAN Network Segmentation & Trunking Configuration</h2><p>Engineered comprehensive network subnetwork isolation to eliminate flat network security risks and optimize broadcast domains.</p><h3>Key Features & Implementation</h3><ul><li><strong>802.1Q VLAN Trunking:</strong> Standardized tagged VLAN trunks between core firewalls, distribution switch stacks, and wireless access points.</li><li><strong>Isolated Subnet Boundaries:</strong> Separated User (VLAN 200), Server (VLAN 300), Management (VLAN 100), and DMZ (VLAN 301) subnets.</li><li><strong>Firewall Inter-VLAN Inspection:</strong> Mandated full deep packet inspection (DPI) on all inter-VLAN routed traffic across the FortiGate firewall cluster.</li></ul>"
54,Active Directory Group Policy (GPO) Hardening Baseline,Business Systems House,2025,Active-Directory-Group-Policy-(GPO)-Hardening-Baseline.png,"Engineered corporate Group Policy Objects (GPOs) to enforce CIS security benchmarks, local administrator password randomization, and Windows Firewall baselines.","Active Directory (AD DS), Group Policy Objects (GPO), LAPS, CIS Benchmarks, PowerShell","<h2>Active Directory Group Policy (GPO) Hardening Baseline</h2><p>Standardized domain-wide security baselines across all Windows desktop endpoints and member servers using hardened Group Policy Objects.</p><h3>Key Features & Implementation</h3><ul><li><strong>Local Administrator Password Solution (LAPS):</strong> Automated unique, randomized local administrator account passwords with AD-vaulted recovery.</li><li><strong>CIS Security Benchmark Enforcement:</strong> Applied Center for Internet Security (CIS) OS hardening rules restricting SMBv1, PowerShell v2, and NTLMv1.</li><li><strong>Centralized Audit Policies:</strong> Configured Advanced Audit Policy settings to log privilege usage, account logon events, and process creation.</li></ul>"
55,Oracle Cloud Infrastructure (OCI) Compartment & IAM Architecture,Business Systems House,2026,Oracle-Cloud-Infrastructure-(OCI)-Compartment-IAM-Architecture.png,Architected multi-tenant compartment structures and fine-grained Identity and Access Management (IAM) policies in OCI for workload isolation.,"Oracle Cloud Infrastructure (OCI IAM), Compartments, RBAC, Dynamic Groups, OCI Audit","<h2>Oracle Cloud Infrastructure (OCI) Compartment & IAM Architecture</h2><p>Designed a zero-trust cloud resource hierarchy using OCI Compartments and least-privilege IAM policy statements.</p><h3>Key Features & Implementation</h3><ul><li><strong>Compartment Segmentation:</strong> Structured production, staging, and shared service compartments to enforce logical resource boundaries.</li><li><strong>Least-Privilege IAM Policies:</strong> Authored granular IAM statements restricting compute, database, and networking modification rights to specific user groups.</li><li><strong>Dynamic Groups & Instance Principals:</strong> Configured Dynamic Groups allowing OCI compute instances to securely call OCI APIs without hardcoded credentials.</li></ul>"
56,Multi-Tenant Web Proxy & Content Filtering Deployment,Business Systems House,2025,Multi-Tenant-Web-Proxy-Content-Filtering-Deployment.png,Deployed centralized web proxy filtering and SSL inspection on FortiGate firewalls to block malicious web domains and enforce corporate browsing policies.,"FortiGate Web Filter, SSL Deep Inspection, Explicit Web Proxy, Active Directory SSO","<h2>Multi-Tenant Web Proxy & Content Filtering Deployment</h2><p>Architected perimeter web content filtering and SSL deep packet inspection to defend endpoints against web-borne threat vectors.</p><h3>Key Features & Implementation</h3><ul><li><strong>SSL Deep Inspection:</strong> Installed trusted corporate CA certificates on client endpoints to inspect encrypted HTTPS traffic for web threats.</li><li><strong>Category-Based Domain Blocking:</strong> Configured dynamic web category filtering blocking phishing, malware distribution, and unauthorized proxy sites.</li><li><strong>User-Aware Browsing Policies:</strong> Integrated Active Directory SSO to apply differential browsing privileges based on departmental roles.</li></ul>"
57,Data Center Uninterruptible Power Supply (UPS) & Environmental Monitoring,Business Systems House,2025,Data-Center-Uninterruptible-Power-Supply-(UPS)-Environmental-Monitoring.png,Engineered rack-level UPS battery backup redundancy and network-attached environmental temperature/humidity SNMP monitoring for server rooms.,"APC Smart-UPS, SNMP Traps, Environmental Sensors, PowerChute, Automated Shutdown","<h2>Data Center Uninterruptible Power Supply (UPS) & Environmental Monitoring</h2><p>Designed power redundancy and environmental threshold alert systems to prevent server hardware failure during utility power outages.</p><h3>Key Features & Implementation</h3><ul><li><strong>Dual-PDU Power Redundancy:</strong> Configured dual A/B feed power distribution units (PDUs) to support multi-corded server power supplies.</li><li><strong>SNMP Environmental Monitoring:</strong> Deployed network-attached environmental probes tracking temperature, humidity, and liquid detection.</li><li><strong>Automated Graceful Shutdown:</strong> Configured automated server shutdown agents to gracefully power down critical VMs before battery depletion.</li></ul>"
58,Enterprise Print Server Management & Secure Follow-Me Printing,Business Systems House,2025,Enterprise-Print-Server-Management-Secure-Follow-Me-Printing.png,"Centralized corporate print management onto a dedicated Windows Print Server, establishing secure pin/badge follow-me printing and auditing.","Windows Server Print Services, GPO Printer Deployment, RFID Badge Authentication, PaperCut",<h2>Enterprise Print Server Management & Secure Follow-Me Printing</h2><p>Centralized print queue management and deployed secure release printing to eliminate unmonitored document printing across corporate offices.</p><h3>Key Features & Implementation</h3><ul><li><strong>Centralized Print Queues:</strong> Deployed a high-availability Windows Print Server managing all network multifunction devices (MFDs).</li><li><strong>GPO-Driven Deployment:</strong> Automated departmental printer mapping via Active Directory Group Policy preferences based on client location.</li><li><strong>Secure Release Authentication:</strong> Implemented PIN and RFID badge authentication on printers to ensure document privacy.</li></ul>
59,Multi-Region Network Routing & BGP Path Optimization,Business Systems House,2026,Multi-Region-Network-Routing-BGP-Path-Optimization.png,Configured dynamic BGP routing and static route prioritization across site-to-site IPsec VPN tunnels connecting head office and cloud subnets.,"BGP, Dynamic Routing, FortiGate, IPsec VPN, Route Redistribution, OCI FastConnect",<h2>Multi-Region Network Routing & BGP Path Optimization</h2><p>Architected dynamic BGP routing protocols to manage traffic failover and path selection between corporate headquarters and cloud tenancies.</p><h3>Key Features & Implementation</h3><ul><li><strong>Dynamic BGP Peering:</strong> Established BGP routing sessions between FortiGate perimeter firewalls and cloud network gateways.</li><li><strong>Automated Route Failover:</strong> Configured route metrics and AS-Path prepending to ensure instant traffic rerouting during primary link failure.</li><li><strong>Route Summarization & Filtering:</strong> Implemented prefix lists and route maps to prevent transit routing and optimize routing table sizes.</li></ul>
60,Remote Application Publishing via Web Application Proxy,Business Systems House,2026,Remote-Application-Publishing-via-Web-Application-Proxy.png,Published internal enterprise web applications to remote users using Web Application Proxy (WAP) and pre-authentication MFA controls.,"Web Application Proxy (WAP), ADFS, Entra ID Application Gateway, TLS 1.3, Reverse Proxy","<h2>Remote Application Publishing via Web Application Proxy</h2><p>Architected secure reverse proxy publishing for internal legacy web applications, allowing safe remote access without full corporate VPN client connection.</p><h3>Key Features & Implementation</h3><ul><li><strong>Pre-Authentication Controls:</strong> Enforced Entra ID pre-authentication and MFA challenges prior to proxying requests to internal application servers.</li><li><strong>URL Translation & SSL Offloading:</strong> Terminated external TLS connections at the proxy edge and mapped external FQDNs to internal IP targets.</li><li><strong>Header Sanitization & Hardening:</strong> Stripped internal server banners and enforced anti-clickjacking HTTP response headers.</li></ul>"
61,Enterprise Antivirus & EDR Central Management Console,Business Systems House,2025,Enterprise-Antivirus-EDR-Central-Management-Console.png,"Deployed centralized Endpoint Detection and Response (EDR) management console, automating definition updates and threat quarantine actions.","FortiClient EMS, Kaspersky Endpoint Security, Centralized Policy Management, EDR, Active Directory Sync","<h2>Enterprise Antivirus & EDR Central Management Console</h2><p>Implemented a centralized endpoint security management console to manage, monitor, and enforce antivirus and EDR policies across all enterprise assets.</p><h3>Key Features & Implementation</h3><ul><li><strong>Centralized Policy Push:</strong> Configured automated policy assignment rules based on Active Directory Organizational Unit (OU) membership.</li><li><strong>Automated Definition Staging:</strong> Built internal update server mirrors to distribute signature updates without saturating internet links.</li><li><strong>Real-Time Quarantine & Isolation:</strong> Configured automated endpoint network isolation rules upon detection of zero-day malware threats.</li></ul>"
62,Oracle Linux Kernel Optimization & Storage Multipathing,Business Systems House,2026,Oracle-Linux-Kernel-Optimization-Storage-Multipathing.png,"Optimized Oracle Linux kernel parameters (sysctl), memory HugePages, and Device Mapper Multipathing (DM-Multipath) for enterprise database servers.","Oracle Linux 7/8/9, Unbreakable Enterprise Kernel (UEK), DM-Multipath, HugePages, Sysctl Tuning","<h2>Oracle Linux Kernel Optimization & Storage Multipathing</h2><p>Hardened and tuned Oracle Linux server installations for maximum I/O performance and redundant storage path connectivity for database engines.</p><h3>Key Features & Implementation</h3><ul><li><strong>Device Mapper Multipathing:</strong> Configured DM-Multipath for redundant iSCSI/FC storage paths with dynamic load balancing and failover.</li><li><strong>HugePages Memory Configuration:</strong> Configured Linux HugePages memory allocation to optimize database SGA memory management and reduce CPU overhead.</li><li><strong>Kernel Parameter Hardening:</strong> Tuned TCP/IP buffer sizes, file descriptor limits, and shared memory parameters via sysctl configuration.</li></ul>"
